name,valuename,value
io-threads,min,1
io-threads,max,128
io-threads,default,1
auto-aof-rewrite-percentage,min,0
auto-aof-rewrite-percentage,max,2147483647
auto-aof-rewrite-percentage,default,100
cluster-replica-validity-factor,min,0
cluster-replica-validity-factor,max,2147483647
cluster-replica-validity-factor,default,10
list-max-ziplist-size,min,-2147483648
list-max-ziplist-size,max,2147483647
list-max-ziplist-size,default,-2
tcp-keepalive,min,0
tcp-keepalive,max,2147483647
tcp-keepalive,default,300
cluster-migration-barrier,min,0
cluster-migration-barrier,max,2147483647
cluster-migration-barrier,default,1
active-defrag-cycle-min,min,1
active-defrag-cycle-min,max,99
active-defrag-cycle-min,default,1
active-defrag-cycle-max,min,1
active-defrag-cycle-max,max,99
active-defrag-cycle-max,default,25
active-defrag-threshold-lower,min,0
active-defrag-threshold-lower,max,1000
active-defrag-threshold-lower,default,10
active-defrag-threshold-upper,min,0
active-defrag-threshold-upper,max,1000
active-defrag-threshold-upper,default,100
lfu-log-factor,min,0
lfu-log-factor,max,2147483647
lfu-log-factor,default,10
lfu-decay-time,min,0
lfu-decay-time,max,2147483647
lfu-decay-time,default,1
replica-priority,min,0
replica-priority,max,2147483647
replica-priority,default,100
repl-diskless-sync-delay,min,0
repl-diskless-sync-delay,max,2147483647
repl-diskless-sync-delay,default,5
maxmemory-samples,min,1
maxmemory-samples,max,2147483647
maxmemory-samples,default,5
maxmemory-eviction-tenacity,min,0
maxmemory-eviction-tenacity,max,100
maxmemory-eviction-tenacity,default,10
timeout,min,0
timeout,max,2147483647
timeout,default,0
replica-announce-port,min,0
replica-announce-port,max,65535
replica-announce-port,default,0
tcp-backlog,min,0
tcp-backlog,max,2147483647
tcp-backlog,default,511
cluster-announce-bus-port,min,0
cluster-announce-bus-port,max,65535
cluster-announce-bus-port,default,0
cluster-announce-port,min,0
cluster-announce-port,max,65535
cluster-announce-port,default,0
cluster-announce-tls-port,min,0
cluster-announce-tls-port,max,65535
cluster-announce-tls-port,default,0
repl-timeout,min,1
repl-timeout,max,2147483647
repl-timeout,default,60
repl-ping-replica-period,min,1
repl-ping-replica-period,max,2147483647
repl-ping-replica-period,default,10
list-compress-depth,min,0
list-compress-depth,max,2147483647
list-compress-depth,default,0
active-expire-effort,min,1
active-expire-effort,max,10
active-expire-effort,default,1
hz,min,0
hz,max,2147483647
hz,default,10
min-replicas-to-write,min,0
min-replicas-to-write,max,2147483647
min-replicas-to-write,default,0
min-replicas-max-lag,min,0
min-replicas-max-lag,max,2147483647
min-replicas-max-lag,default,10
